City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Avg Temp,Wind Speed
caibarien,75,CU,1553374320,60,22.52,-79.47,24,24,24,6.2
walvis bay,0,NA,1553374927,82,-22.95,14.51,16.67,16,16.43,2.1
aklavik,40,CA,1553374800,62,68.22,-135.01,-6,-6,-6,10.3
mayo,40,CA,1553374800,40,63.59,-135.9,12,12,12,2.6
cockburn town,0,TC,1553377358,97,21.46,-71.14,26.62,26.62,26.62,5.72
avera,1,US,1553377392,31,33.19,-82.53,23.33,18.89,21.04,3.1
bethanien,0,NA,1553377395,18,-26.5,17.16,24.52,24.52,24.52,2.57
stokmarknes,92,NO,1553376711,94,68.56,14.91,3.89,1.67,2.84,1.34
tari,0,NG,1553377395,21,12.41,4.49,27.97,27.97,27.97,4.12
mao,40,DO,1553377250,54,19.55,-71.08,29,26.67,28.1,7.7
tocopilla,0,CL,1553377396,85,-22.09,-70.2,20.27,20.27,20.27,2.32
cabo san lucas,5,MX,1553377249,44,22.89,-109.91,27.22,22.22,25.05,4.1
hami,0,CN,1553377396,42,42.84,93.51,0.67,0.67,0.67,3.62
baruun-urt,12,MN,1553377397,57,46.68,113.28,-5.63,-5.63,-5.63,4.12
paris,20,FR,1553377025,76,48.86,2.35,10.56,6,8.59,1.5
taos,1,US,1553377098,39,36.41,-105.57,10,5,7.88,8.7
port blair,8,IN,1553377397,100,11.67,92.75,27.97,27.97,27.97,3.87
ixtapa,5,MX,1553377211,61,20.71,-105.21,28,26.67,27.34,6.2
tual,20,ID,1553377398,100,-5.67,132.75,26.52,26.52,26.52,6.87
roma,0,IT,1553377109,66,41.89,12.48,14.44,9.44,11.66,2.1
coquimbo,20,CL,1553374800,77,-29.95,-71.34,16,16,16,5.1
chuy,0,UY,1553377398,79,-33.69,-53.46,22.32,22.32,22.32,2.97
tyumen,0,RU,1553374800,64,57.15,65.54,0,0,0,3
taoudenni,36,ML,1553377399,15,22.68,-3.98,24.62,24.62,24.62,4.57
aleksandrov gay,76,RU,1553377399,87,50.14,48.57,1.32,1.32,1.32,1.32
lebu,0,ET,1553377399,60,8.96,38.73,12.12,12.12,12.12,2.77
guerrero,40,AR,1553374800,73,-24.19,-65.45,21,21,21,3.1
san cristobal,75,EC,1553376619,77,-0.39,-78.55,18,13.89,16.22,4.1
pangnirtung,80,CA,1553377400,73,66.15,-65.72,-17.88,-17.88,-17.88,11.32
ouargaye,32,BF,1553377400,19,11.5,0.06,29.77,29.77,29.77,3.32
morgan city,1,US,1553377395,40,29.7,-91.21,25,20.56,22.92,5.7
barranca,20,PE,1553377401,94,-10.75,-77.76,21.27,21.27,21.27,3.37
canala,88,NC,1553374800,74,-21.52,165.96,26,26,26,4.02
emba,0,CY,1553376695,76,34.81,32.42,15,9.44,12.23,2.6
deolali,0,IN,1553377402,63,19.94,73.86,16.37,16.37,16.37,1.07
larsnes,20,NO,1553377204,92,62.2,5.58,4.44,-0.57,2.14,10.3
leshukonskoye,88,RU,1553377402,79,64.9,45.76,0.37,0.37,0.37,5.57
karratha,80,AU,1553377403,60,-20.74,116.85,28.12,28.12,28.12,16.52
pauini,56,BR,1553377403,93,-7.71,-67,24.77,24.77,24.77,2.22
anaconda,1,US,1553376729,48,46.13,-112.94,11.11,6.67,8.33,4.1
moose factory,20,CA,1553374800,44,51.26,-80.61,5,5,5,8.7
miri,12,NG,1553377404,33,10.31,9.75,25.27,25.27,25.27,2.07
kalmunai,0,LK,1553377404,96,7.42,81.82,22.27,22.27,22.27,1.07
geraldton,5,CA,1553374800,17,49.72,-86.95,11,11,11,7.7
noyabrsk,88,RU,1553377404,86,63.2,75.45,-5.38,-5.38,-5.38,2.07
urusha,12,RU,1553377404,79,54.05,122.9,-12.78,-12.78,-12.78,1.22
lethem,0,GY,1553377405,31,3.38,-59.8,35.67,35.67,35.67,5.72
aljezur,0,PT,1553377120,66,37.31,-8.8,16.11,12.22,14.43,5.17
panguna,68,PG,1553377405,91,-6.32,155.48,24.47,24.47,24.47,1.37
nadym,76,RU,1553377406,93,65.53,72.51,-3.53,-3.53,-3.53,2.87
sao felix do xingu,68,BR,1553377406,83,-6.64,-51.99,27.22,27.22,27.22,1.17
valparaiso,1,US,1553377091,42,41.47,-87.06,12.78,8,10.68,2.27
keti bandar,36,PK,1553377406,94,24.14,67.45,24.27,24.27,24.27,7.52
nador,24,MA,1553374800,77,35.17,-2.93,16,14,14.98,6.7
hagerstown,1,US,1553377326,23,39.64,-77.72,11.11,8.33,9.95,7.2
matagami,44,NG,1553377407,75,9.67,8.4,22.72,22.72,22.72,1.32
pangai,75,TO,1553374800,61,-19.8,-174.35,27,27,27,3.1
silopi,68,IQ,1553377407,97,37.25,42.47,6.97,6.97,6.97,1.72
lavrentiya,92,RU,1553377408,100,65.58,-170.99,-9.28,-9.28,-9.28,5.72
guane,8,CU,1553377287,41,22.2,-84.09,28.22,28.22,28.22,1.82
klyuchi,0,RU,1553377408,75,52.25,79.17,-4.88,-4.88,-4.88,2.67
omsukchan,0,RU,1553377409,49,62.53,155.8,-23.88,-23.88,-23.88,1.12
champerico,20,MX,1553374140,26,16.38,-93.6,34,34,34,3.1
flinders,68,AU,1553377343,78,-34.58,150.85,22.78,20.56,21.77,3.1
mehamn,0,NO,1553377409,70,71.03,27.85,-3.78,-3.78,-3.78,3.47
grindavik,40,IS,1553376698,100,63.84,-22.43,1.67,0,0.6,4.1
caranavi,64,BO,1553377410,84,-15.83,-67.57,21.27,21.27,21.27,0.92
asopos,0,GR,1553377410,75,36.73,22.85,15.12,15.12,15.12,8.87
atambua,36,ID,1553377410,100,-9.11,124.89,24.87,24.87,24.87,1.22
zhumadian,56,CN,1553377410,75,33.01,114.02,2.97,2.97,2.97,1.32
cabedelo,20,BR,1553374800,74,-6.97,-34.84,29,29,29,4.1
faanui,8,PF,1553377411,100,-16.48,-151.75,28.87,28.87,28.87,4.22
nioki,92,CD,1553377411,100,-2.72,17.69,21.37,21.37,21.37,0.92
fuerte,20,PH,1553377412,83,17.54,120.36,16.97,16.97,16.97,1.52
evensk,0,RU,1553377412,90,61.92,159.24,-6.63,-6.63,-6.63,8.07
havre-saint-pierre,90,CA,1553375520,79,50.23,-63.6,-2,-2,-2,7.7
boksitogorsk,92,RU,1553377258,91,59.47,33.85,0,0,0,2.24
morros,90,BR,1553374800,88,-2.87,-44.04,27,27,27,4.1
ventspils,0,LV,1553374200,80,57.39,21.56,5,5,5,5.7
boueni,0,YT,1553374800,94,-12.9,45.08,27,27,27,1.5
esperance,20,TT,1553377207,54,10.24,-61.45,30.56,28.33,29.07,3.42
morondava,8,MG,1553377414,88,-20.3,44.28,27.47,27.47,27.47,2.57
nova olimpia,56,BR,1553377414,66,-14.8,-57.29,31.47,31.47,31.47,1.42
narsaq,24,GL,1553374200,51,60.91,-46.05,-11,-11,-11,3.1
sao filipe,0,CV,1553377415,97,14.9,-24.5,21.47,21.47,21.47,6.47
tupik,36,RU,1553377415,68,54.43,119.94,-10.38,-10.38,-10.38,2.32
bilibino,0,RU,1553377415,53,68.06,166.44,-24.13,-24.13,-24.13,1.02
sioux lookout,20,CA,1553374800,61,50.1,-91.92,10,10,10,6.7
tuatapere,92,NZ,1553377207,89,-46.13,167.69,16.67,16.67,16.67,0.45
barcelona,0,ES,1553377195,58,41.38,2.18,17.78,7.78,13.38,1.5
lambarene,92,GA,1553377416,100,-0.7,10.22,23.52,23.52,23.52,1.07
belaya gora,36,RU,1553377416,42,68.54,146.19,-25.63,-25.63,-25.63,1.42
qandala,0,SO,1553377417,97,11.47,49.87,19.02,19.02,19.02,1.17
bambous virieux,75,MU,1553377140,78,-20.34,57.76,28,26.67,27.26,5.7
husavik,0,CA,1553377254,68,50.56,-96.99,10,6.67,8.43,2.52
pierre,90,US,1553377172,70,44.37,-100.35,8,7.22,7.54,1.5
miyako,75,JP,1553377404,45,33.63,130.94,8,3.33,5.87,3.6
mathbaria,0,BD,1553377418,89,22.29,89.96,21.62,21.62,21.62,2.12
mount pleasant,40,US,1553377416,43,33.16,-94.97,24.44,21,22.69,4.6
the pas,90,CA,1553374800,80,53.82,-101.24,0,0,0,3.1
mayma,0,RU,1553377419,62,52,85.9,-8.28,-8.28,-8.28,1.32
havoysund,12,NO,1553374200,55,71,24.66,2,2,2,4.1
borger,68,NL,1553377230,93,52.92,6.79,5,3,4.27,1
tautira,20,PF,1553377389,70,-17.73,-149.15,31,30.56,30.77,7.7
fortuna,0,ES,1553377406,82,38.18,-1.13,15,7.22,12.52,2.1
sabha,24,LY,1553377420,52,27.03,14.43,14.17,14.17,14.17,3.17
college,20,US,1553377223,42,64.86,-147.8,10,1.67,6.33,3.1
auki,12,NG,1553377421,32,12.18,6.51,24.82,24.82,24.82,2.52
chokurdakh,44,RU,1553377421,49,70.62,147.9,-27.28,-27.28,-27.28,1.32
dafeng,0,CN,1553377422,79,33.2,120.46,1.92,1.92,1.92,3.42
pozhva,8,RU,1553377422,70,59.09,56.08,-10.48,-10.48,-10.48,1.17
zyryanka,24,RU,1553377422,63,65.73,150.89,-19.78,-19.78,-19.78,0.82
caravelas,88,BR,1553377423,100,-17.73,-39.27,26.97,26.97,26.97,8.82
luderitz,20,NA,1553377423,91,-26.65,15.16,15.67,15.67,15.67,4.02
hwange,8,ZW,1553377423,31,-18.35,26.5,28.17,28.17,28.17,6.47
fraserburgh,0,GB,1553377406,65,57.69,-2.02,5.56,3.89,4.73,3.6
inhambane,36,MZ,1553377424,86,-23.87,35.38,26.02,26.02,26.02,5.72
mosquera,75,CO,1553374800,77,4.71,-74.23,16,16,16,4.1
westport,44,IE,1553377384,77,53.8,-9.52,7.78,2.78,5.54,0.45
nemuro,0,JP,1553377424,100,43.32,145.57,-2.78,-2.78,-2.78,4.77
gafanha da encarnacao,0,PT,1553377051,71,40.62,-8.73,16.67,13,15.25,3.6
smiths falls,1,CA,1553377083,27,44.9,-76.02,5,0,2.14,3.1
lekoni,92,GA,1553377425,99,-1.58,14.26,20.52,20.52,20.52,1.72
santa vitoria do palmar,0,BR,1553377223,79,-33.52,-53.37,22.32,22.32,22.32,2.97
casa nova,56,BR,1553377425,87,-11.77,-39.23,25.92,25.92,25.92,1.32
waitati,56,NZ,1553377107,71,-45.75,170.57,18.33,18.33,18.33,3.13
quesnel,1,CA,1553377232,61,52.98,-122.49,8.33,8,8.17,3.1
blue springs,90,US,1553377182,41,39.02,-94.28,15,13,14.16,3.6
nome,90,US,1553377419,38,30.04,-94.42,24,20.56,22.25,4.6
marathon,40,CA,1553374800,80,48.72,-86.38,1,1,1,3.6
spas-demensk,0,RU,1553377427,68,54.41,34.03,-5.78,-5.78,-5.78,2.77
jishou,92,CN,1553377427,99,28.26,109.7,6.07,6.07,6.07,2.67
hofn,88,IS,1553377428,100,64.25,-15.21,4.27,4.27,4.27,9.57
sfantu gheorghe,0,RO,1553377203,22,44.65,26.83,10,7.78,8.7,3.1
paka,0,HR,1553374800,75,45.29,18.06,7,7,7,1
tutoia,40,BR,1553374800,65,-2.76,-42.27,28,28,28,2.6
montepuez,88,MZ,1553377428,96,-13.13,39,23.02,23.02,23.02,2.27
gunjur,0,GM,1553374800,77,13.18,-16.76,21,21,21,3.1
nakapiripirit,0,UG,1553377429,57,1.81,34.71,20.72,20.72,20.72,3.27
anadyr,75,RU,1553377393,77,64.73,177.51,-17,-17.22,-17.11,7
gondanglegi,12,ID,1553377429,91,-7.75,112.01,19.97,19.97,19.97,0.77
harper,90,US,1553377109,93,30.3,-99.24,20.56,17.22,19.35,2.6
noumea,64,NC,1553374800,74,-22.28,166.46,26,26,26,2.97
mitsamiouli,32,KM,1553377430,100,-11.38,43.28,27.37,27.37,27.37,1.22
aitape,0,PG,1553377430,97,-3.15,142.36,26.42,26.42,26.42,3.17
inta,44,RU,1553377430,82,66.04,60.13,-3.63,-3.63,-3.63,3.52
henties bay,0,NA,1553374927,90,-22.12,14.28,16.67,16.67,16.67,2.24
breves,92,BR,1553377431,98,-1.68,-50.48,24.97,24.97,24.97,2.37
korsakov,40,RU,1553374800,84,46.63,142.78,-17,-17,-17,3
dicabisagan,68,PH,1553377431,100,17.08,122.42,21.72,21.72,21.72,1.87
indramayu,24,ID,1553377432,95,-4.05,103.78,20.37,20.37,20.37,0.77
cayenne,40,GF,1553374800,69,4.94,-52.33,28,28,28,5.7
ningbo,0,CN,1553374800,86,29.88,121.54,4,4,4,1
andalan,8,PH,1553377433,100,5.96,121.39,26.02,26.02,26.02,4.67
saryozek,68,KZ,1553377433,78,44.36,77.98,2.17,2.17,2.17,1.17
carutapera,88,BR,1553377433,86,-1.2,-46.02,26.72,26.72,26.72,3.82
linjiang,0,CN,1553377149,63,41.81,126.91,-7.43,-7.43,-7.43,3.67
gornozavodsk,0,RU,1553377433,61,58.37,58.33,-11.28,-11.28,-11.28,1.27
port hardy,75,CA,1553374800,71,50.7,-127.42,10,10,10,3.6
mahibadhoo,0,MV,1553377434,99,3.78,72.97,29.47,29.47,29.47,4.47
smoky lake,0,CA,1553377434,88,54.11,-112.47,3.22,3.22,3.22,6.27
awbari,20,LY,1553377434,41,26.59,12.77,12.87,12.87,12.87,2.72
huainan,8,CN,1553377435,85,32.59,117.01,2.02,2.02,2.02,1.72
dunedin,56,NZ,1553377107,71,-45.87,170.5,18.33,18.33,18.33,3.13
praia,75,BR,1553374800,64,-20.25,-43.81,24,22,22.94,3.1
sydney,0,AU,1553376996,88,-33.85,151.22,22.22,20,20.84,3.6
kugesi,75,RU,1553374800,99,56.03,47.29,0,0,0,2
whitehorse,75,CA,1553377370,48,60.72,-135.06,11.11,7.78,9.74,6.7
powell river,75,CA,1553377325,58,49.84,-124.52,13.89,11.67,12.46,3.6
talisay,40,PH,1553374800,69,10.25,123.85,26,26,26,3.6
aykhal,44,RU,1553377437,63,65.95,111.51,-20.53,-20.53,-20.53,3.22
bacolod,12,PH,1553377437,84,10.68,122.95,22.82,22.82,22.82,4.37
vilela,0,PT,1553377370,58,41.66,-8.33,16.11,12.22,14.14,0.67
belovo,36,RU,1553377438,63,54.42,86.3,-10.33,-10.33,-10.33,1.22
manaus,40,BR,1553374800,83,-3.13,-59.98,30,28,29.03,1
santo angelo,0,BR,1553377438,79,-28.3,-54.26,23.92,23.92,23.92,1.32
linqiong,75,CN,1553374800,93,30.42,103.46,9,9,9,0.67
ilulissat,56,GL,1553374200,40,69.22,-51.1,-19,-19,-19,9.3
bandar-e anzali,44,IR,1553374800,100,37.47,49.46,10,10,10,1.02
dehui,0,CN,1553374800,81,44.53,125.71,0,0,0,7
gusau,12,NG,1553377439,32,12.17,6.66,24.82,24.82,24.82,2.52
ballina,0,IE,1553377208,85,54.11,-9.15,7.78,2.78,5.18,0.89
havelock,1,US,1553377427,23,34.88,-76.9,18,16.11,16.93,4.6
aripuana,56,BR,1553377440,81,-9.17,-60.63,28.07,28.07,28.07,1.17
villacarrillo,0,ES,1553377440,72,38.12,-3.08,7.97,7.97,7.97,3.42
xinan,90,CN,1553377394,87,22.55,113.89,16.11,14,15.55,5
pochutla,20,MX,1553376631,70,15.74,-96.47,30.56,29,29.66,3.1
puerto leguizamo,88,CO,1553377441,84,-0.19,-74.78,26.72,26.72,26.72,1.42
scarborough,92,GB,1553377383,80,54.28,-0.41,7.78,4,6.08,1
santiago del estero,0,AR,1553377223,55,-27.8,-64.26,28.47,28.47,28.47,6.37
nabire,0,ID,1553377442,97,-3.36,135.5,19.82,19.82,19.82,0.87
kitakata,88,JP,1553376720,62,37.67,139.86,-0.57,-1.67,-1.13,1.12
rawson,92,AR,1553377442,58,-43.3,-65.11,16.77,16.77,16.77,12.52
padang,40,ID,1553374800,94,-0.92,100.36,25,25,25,1
refojos de basto,0,PT,1553377370,58,41.51,-7.99,16.11,12.22,14.12,2.27
micheweni,24,TZ,1553377443,100,-4.97,39.83,27.92,27.92,27.92,3.52
gondal,0,IN,1553376872,38,21.96,70.8,28.33,28.33,28.33,2.12
ukiah,75,US,1553377225,50,39.15,-123.21,16.67,11.11,13.52,3.6
pisco,40,PE,1553374800,30,-13.71,-76.2,22,22,22,9.8
adrar,0,DZ,1553374800,19,27.87,-0.29,21,21,21,3.1
namatanai,48,PG,1553377444,100,-3.66,152.44,27.02,27.02,27.02,3.92
xuanhua,0,CN,1553377445,54,40.61,115.04,-5.18,-5.18,-5.18,2.32
garissa,0,KE,1553377445,50,-0.46,39.64,29.12,29.12,29.12,5.37
union,75,US,1553377445,62,47.36,-123.1,15.56,11.67,13.45,1.12
alugan,92,PH,1553377446,94,12.22,125.48,24.72,24.72,24.72,5.67
uporovo,8,RU,1553377446,88,56.31,66.27,-4.98,-4.98,-4.98,1.32
derzhavinsk,68,KZ,1553377446,96,51.1,66.31,-1.68,-1.68,-1.68,1.37
popondetta,92,PG,1553377446,95,-8.77,148.24,20.12,20.12,20.12,0.87
poso,64,ID,1553377447,100,-1.4,120.75,25.27,25.27,25.27,1.07
lujan,20,AR,1553377447,66,-46.57,-67.67,14.82,14.82,14.82,4.72
ishigaki,75,JP,1553374800,68,24.34,124.16,19,19,19,8.2
komsomolskiy,48,RU,1553377447,90,67.55,63.78,-7.28,-7.28,-7.28,6.12
san quintin,20,PH,1553377448,83,17.54,120.52,16.97,16.97,16.97,1.52
price,20,US,1553377172,53,39.6,-110.81,11.11,4.44,8.4,4.1
mayumba,80,GA,1553377448,98,-3.44,10.65,27.12,27.12,27.12,3.12
nanortalik,36,GL,1553377448,100,60.14,-45.24,-5.18,-5.18,-5.18,5.12
itarema,92,BR,1553377449,96,-2.92,-39.92,25.37,25.37,25.37,1.62
kangaatsiaq,68,GL,1553377197,100,68.31,-53.46,-18.73,-18.73,-18.73,7.97
nizhyn,0,UA,1553377449,80,51.05,31.88,-2.03,-2.03,-2.03,1.32
gari,44,RU,1553377449,77,59.43,62.35,-5.08,-5.08,-5.08,1.37
verkhnyaya inta,36,RU,1553377449,76,65.99,60.32,-4.43,-4.43,-4.43,2.82
viedma,0,AR,1553377395,35,-40.81,-62.99,19.52,19.52,19.52,9.97
srednekolymsk,12,RU,1553377450,52,67.46,153.71,-20.13,-20.13,-20.13,1.07
shubarkuduk,8,KZ,1553377450,71,49.15,56.49,0.27,0.27,0.27,0.52
daru,64,SL,1553377450,76,7.99,-10.85,24.37,24.37,24.37,3.92
ilinskiy,0,RU,1553377254,92,55.62,38.12,1.11,-2.22,-1.01,1
port macquarie,20,AU,1553377205,100,-31.43,152.91,24.44,20,22.21,2.52
pop,32,UZ,1553374800,70,40.87,71.1,9,9,9,2.1
bandarbeyla,92,SO,1553377451,100,9.49,50.81,27.02,27.02,27.02,4.37
gotsu,92,JP,1553377451,85,35.01,132.22,6.82,6.82,6.82,4.37
kattivakkam,20,IN,1553374800,83,13.22,80.32,28,28,28,2.1
tonantins,12,BR,1553377452,69,-2.86,-67.77,31.07,31.07,31.07,2.52
grand-lahou,24,CI,1553377452,77,5.24,-5,27.37,27.37,27.37,2.67
kenai,90,US,1553377327,93,60.55,-151.26,7.22,3,5.28,4.6
byadgi,44,IN,1553377453,83,14.68,75.48,21.67,21.67,21.67,3.12
vilhena,20,BR,1553374800,70,-12.74,-60.15,29,29,29,2.6
nichinan,20,JP,1553377392,74,31.65,131.31,1,0.56,0.77,3.1
tarazona,12,ES,1553376933,40,41.91,-1.72,14,8.33,11.3,2.1
talara,0,PE,1553374800,290,-4.58,-81.27,17,17,17,5.42
faya,0,SA,1553374800,39,18.39,42.45,17,17,17,1.77
ponnani,64,IN,1553374800,83,10.77,75.93,27,27,27,1
chinhoyi,68,ZW,1553377454,49,-17.36,30.19,24.87,24.87,24.87,4.52
ovalle,0,CL,1553377454,84,-30.6,-71.2,21.22,21.22,21.22,1.62
medina,0,SA,1553374800,28,24.47,39.61,27,27,27,3.1
bay roberts,90,CA,1553377431,93,47.58,-53.28,5.56,3.89,4.8,2.1
alofi,68,NU,1553374800,65,-19.06,-169.92,28,28,28,4.6
sandpoint,75,US,1553377417,53,48.28,-116.55,15,11,12.74,4.1
dubbo,20,AU,1553374800,83,-32.25,148.6,22,22,22,3.6
emerald,0,AU,1553377418,94,-23.53,148.16,23.33,23,23.17,2.1
manggar,36,ID,1553377456,100,-2.88,108.27,24.17,24.17,24.17,1.77
ladario,0,PT,1553377051,67,40.7,-7.74,16.67,10,14.07,1.87
the valley,20,AI,1553376828,65,18.22,-63.06,28,26,26.84,5.7
villanueva de la serena,12,ES,1553377262,46,38.97,-5.8,15.56,15.56,15.56,3.13
santa ana,75,SV,1553376915,24,13.99,-89.56,32,30.56,31.29,3.1
luanda,76,AO,1553377458,100,-8.83,13.24,25.77,25.77,25.77,2.32
ranong,8,TH,1553377458,100,9.96,98.62,27.77,27.77,27.77,2.32
itaberaba,92,BR,1553377458,89,-12.52,-40.31,24.87,24.87,24.87,1.22
aksarka,0,RU,1553377458,63,66.56,67.8,-15.73,-15.73,-15.73,1.97
eskil,56,TR,1553377459,67,38.4,33.41,4.77,4.77,4.77,6.32
santa isabel do rio negro,44,BR,1553377459,90,-0.41,-65.02,27.87,27.87,27.87,1.77
mangan,0,IN,1553377459,46,27.5,88.54,-8.88,-8.88,-8.88,0.72
tommot,80,RU,1553377459,87,58.97,126.27,-9.13,-9.13,-9.13,1.12
kulhudhuffushi,0,MV,1553377460,100,6.62,73.07,28.87,28.87,28.87,2.32
kaeo,0,NZ,1553377089,89,-35.1,173.78,19.44,19.44,19.44,1.79
santa paula,90,US,1553377453,59,34.35,-119.06,18.33,11.67,16.24,5.1
bonthe,92,SL,1553377460,72,7.53,-12.5,28.37,28.37,28.37,2.32
matara,48,PE,1553377461,69,-13.74,-72.9,13.07,13.07,13.07,1.07
kloulklubed,40,PW,1553374200,88,7.04,134.26,24,24,24,2.1
vila,0,IT,1553377449,70,45.18,8.4,15.56,8.33,12.32,2.6
ponta delgada,40,PT,1553377434,81,37.73,-25.67,12.78,12,12.41,8.2
manadhoo,0,MV,1553377462,99,5.77,73.38,29.37,29.37,29.37,3.07
paredon,88,BO,1553377462,70,-18.93,-65.16,14.77,14.77,14.77,1.22
mehkar,0,IN,1553377462,57,20.15,76.57,19.57,19.57,19.57,1.17
grodzisk wielkopolski,0,PL,1553377434,81,52.23,16.36,9.44,7.22,8.2,4.6
mana,0,RS,1553374800,70,43.52,20.24,7,4,5.42,0.5
zhigansk,56,RU,1553377463,82,66.77,123.37,-13.58,-13.58,-13.58,3.67
lisakovsk,92,KZ,1553377463,75,52.55,62.49,-3.03,-3.03,-3.03,1.17
tuchola,0,PL,1553377414,75,53.59,17.86,7.78,4.44,6.08,3.6
laguna,5,MX,1553373660,28,27.52,-110.01,27,27,27,4.6
pundaguitan,8,PH,1553377464,100,6.37,126.17,26.12,26.12,26.12,4.02
